DAY,IS_MEMBER,TYPE,AVG_DURATION,COUNT
2021-01-26,false,docked_bike,46.75,12
2021-01-26,false,electric_bike,12.231707317,82
2021-01-26,true,electric_bike,12.594827586,348
2021-01-27,false,classic_bike,20.931623932,117
2021-01-27,true,classic_bike,14.147897898,1332
2021-01-27,false,docked_bike,13.545454545,11
2021-01-27,false,electric_bike,12.472222222,108
2021-01-27,true,electric_bike,11.073846154,650
2021-01-28,false,classic_bike,32.372670807,161
2021-01-28,true,classic_bike,12.974276527,1555
2021-01-28,false,docked_bike,21.03125,32
2021-01-28,false,electric_bike,14.722222222,144
2021-01-28,true,electric_bike,10.888059701,670
2021-01-29,false,classic_bike,18.923694779,249
2021-01-29,true,classic_bike,13.252388983,1779
2021-01-29,false,docked_bike,30.943396226,53
2021-01-29,false,electric_bike,14.008032129,249
2021-01-29,true,electric_bike,11.660292463,889
2021-01-30,false,classic_bike,18.830188679,159
2021-01-30,true,classic_bike,14.373185312,1171
2021-01-30,false,docked_bike,39.787234043,47
2021-01-30,false,electric_bike,14.117318436,179
2021-01-30,true,electric_bike,12.3536,625
2021-01-31,false,classic_bike,76.333333333,54
2021-01-31,true,classic_bike,24.395555556,225
2021-01-31,false,docked_bike,18,4
2021-01-31,false,electric_bike,19.127659574,47
2021-01-31,true,electric_bike,13.372413793,145
2021-02-01,false,classic_bike,26.417391304,115
2021-02-01,true,classic_bike,16.126684636,1113
2021-02-01,false,docked_bike,142.25,16
2021-02-01,false,electric_bike,13.409836066,122
2021-02-01,true,electric_bike,13.193548387,403
2021-02-02,false,classic_bike,40.305194805,154
2021-02-02,true,classic_bike,18.358610914,1411
2021-02-02,false,docked_bike,17.75,12
2021-02-02,false,electric_bike,16.179487179,117
2021-02-02,true,electric_bike,11.918118467,574
2021-02-03,false,classic_bike,21.52688172,186
2021-02-03,true,classic_bike,16.185297691,1646
2021-02-03,false,docked_bike,28.384615385,26
2021-02-03,false,electric_bike,13.111111111,144
2021-02-03,true,electric_bike,13.380664653,662
2021-02-04,false,classic_bike,18.532608696,92
2021-02-04,true,classic_bike,14.20199005,1005
2021-02-04,false,docked_bike,24,6
2021-02-04,false,electric_bike,13.333333333,99
2021-02-04,true,electric_bike,11.25,500
2021-02-05,false,classic_bike,137.714285714,70
2021-02-05,true,classic_bike,31.654808959,759
2021-02-05,false,docked_bike,4294.571428571,7
2021-02-05,false,electric_bike,13.151515152,66
2021-02-05,true,electric_bike,11.803234501,371
2021-02-06,false,classic_bike,44.378787879,66
2021-02-06,true,classic_bike,29.335456476,471
2021-02-06,false,docked_bike,2644.111111111,18
2021-02-06,false,electric_bike,10.588235294,34
2021-02-06,true,electric_bike,12.246753247,231
2021-02-07,false,classic_bike,70.966666667,60
2021-02-07,true,classic_bike,35.918854415,419
2021-02-07,false,docked_bike,57,10
2021-02-07,false,electric_bike,22.666666667,9
2021-02-07,true,electric_bike,15.55,60
2021-02-08,false,classic_bike,72.86440678,59
2021-02-08,true,classic_bike,22.469589816,707
2021-02-08,false,docked_bike,49.6,5
2021-02-08,false,electric_bike,22.5,18
2021-02-08,true,electric_bike,13.743589744,117
2021-02-09,false,classic_bike,52.398058252,103
2021-02-09,true,classic_bike,12.724700762,919
2021-02-09,false,docked_bike,25,6
2021-02-09,false,electric_bike,11.733333333,30
