station_id,dayofweek,hour,is_member,starts,ends,diff,lat,lng
13068,6,17,false,2,5,3,41.91554,-87.68703
13179,6,17,false,41,41,0,41.9157,-87.63461
13133,6,17,false,21,22,1,41.91598,-87.67733
TA1305000039,6,17,false,14,7,-7,41.9163,-87.66749
15650,6,17,false,5,12,7,41.91711,-87.71023
13266,6,17,false,7,7,0,41.91774,-87.69142
TA1309000029,6,17,false,2,7,5,41.9178,-87.68245
TA1309000006,6,17,false,11,15,4,41.91809,-87.64375
TA1307000163,6,17,false,7,13,6,41.91821,-87.65696
13146,6,17,false,83,51,-32,41.91831,-87.63629
13059,6,17,false,23,17,-6,41.91845,-87.65222
13192,6,17,false,19,11,-8,41.91995,-87.64884
13288,6,17,false,5,12,7,41.92008,-87.67788
TA1309000030,6,17,false,9,10,1,41.92077,-87.66372
TA1309000033,6,17,false,14,11,-3,41.92158,-87.65381
13193,6,17,false,13,28,15,41.92182,-87.64412
13191,6,17,false,22,23,1,41.92217,-87.63891
13084,6,17,false,11,17,6,41.92268,-87.69715
LP-,6,17,false,24,17,-7,41.92396,-87.63584
KA1504000090,6,17,false,7,5,-2,41.92483,-87.7145
TA1307000001,6,17,false,4,21,17,41.92535,-87.66581
TA1306000026,6,17,false,7,8,1,41.92558,-87.65842
TA1306000016,6,17,false,20,15,-5,41.9256,-87.65371
TA1309000019,6,17,false,37,24,-13,41.92586,-87.63897
TA1309000058,6,17,false,18,21,3,41.92591,-87.64927
TA1308000001,6,17,false,88,88,0,41.92627,-87.63086
15646,6,17,false,2,5,3,41.92668,-87.6977
13124,6,17,false,26,15,-11,41.92675,-87.63444
TA1309000023,6,17,false,19,31,12,41.9287,-87.65383
TA1307000113,6,17,false,12,24,12,41.92878,-87.66391
13296,6,17,false,8,13,5,41.92883,-87.66852
TA1309000059,6,17,false,13,14,1,41.92889,-87.65898
TA1309000061,6,17,false,24,15,-9,41.92915,-87.64909
TA1308000031,6,17,false,5,4,-1,41.92946,-87.68417
TA1305000014,6,17,false,16,17,1,41.92956,-87.64313
13085,6,17,false,7,14,7,41.92958,-87.70789
15643,6,17,false,2,5,3,41.93057,-87.7238
TA1307000142,6,17,false,25,21,-4,41.93125,-87.64432
13276,6,17,false,29,22,-7,41.93132,-87.63874
13271,6,17,false,5,5,0,41.93192,-87.67784
TA1307000064,6,17,false,20,17,-3,41.93222,-87.65864
TA1306000014,6,17,false,19,17,-2,41.93242,-87.65271
TA1309000039,6,17,false,30,35,5,41.93258,-87.63642
13294,6,17,false,6,6,0,41.9326,-87.66595
TA1309000036,6,17,false,18,16,-2,41.93313,-87.64776
TA1307000006,6,17,false,12,16,4,41.93571,-87.6636
13268,6,17,false,6,6,0,41.93588,-87.67843
13269,6,17,false,5,5,0,41.93609,-87.66983
TA1307000052,6,17,false,13,15,2,41.93628,-87.65266
TA1307000136,6,17,false,13,12,-1,41.9365,-87.64755
TA1307000041,6,17,false,42,40,-2,41.93669,-87.63683
13137,6,17,false,30,31,1,41.9376,-87.6441
TA1309000042,6,17,false,3,11,8,41.93937,-87.66836
13229,6,17,false,10,13,3,41.93946,-87.66376
TA1308000019,6,17,false,13,17,4,41.93973,-87.65886
13277,6,17,false,16,13,-3,41.9401,-87.64546
TA1307000134,6,17,false,26,32,6,41.94016,-87.65303
TA1309000049,6,17,false,41,46,5,41.94077,-87.63919
15634,6,17,false,5,4,-1,41.94304,-87.68729
TA1307000138,6,17,false,6,5,-1,41.94334,-87.67094
13144,6,17,false,7,7,0,41.9434,-87.67964
TA1309000025,6,17,false,22,18,-4,41.94368,-87.64894
13071,6,17,false,19,29,10,41.94373,-87.66401
632,6,17,false,34,42,8,41.94453,-87.6547
13278,6,17,false,21,19,-2,41.94553,-87.64644
TA1309000050,6,17,false,5,3,-2,41.94618,-87.67331
13235,6,17,false,9,23,14,41.94814,-87.66396
13253,6,17,false,3,6,3,41.9488,-87.67527
13325,6,17,false,16,18,2,41.94907,-87.64863
TA1307000126,6,17,false,16,65,49,41.94936,-87.65451
TA1307000150,6,17,false,20,12,-8,41.94945,-87.64646
13319,6,17,false,6,7,1,41.95069,-87.6687
TA1307000127,6,17,false,12,21,9,41.9508,-87.65918
15628,6,17,false,5,6,1,41.95216,-87.69806
13323,6,17,false,15,5,-10,41.95282,-87.65
TA1309000043,6,17,false,7,1,-6,41.95417,-87.66434
13063,6,17,false,14,13,-1,41.95424,-87.65441
TA1308000022,6,17,false,4,12,8,41.95438,-87.64805
TA1307000149,6,17,false,6,7,1,41.95467,-87.67392
TA1308000047,6,17,false,1,7,6,41.95709,-87.6642
13379,6,17,false,8,7,-1,41.95786,-87.6495
TA1309000018,6,17,false,12,4,-8,41.95791,-87.67357
TA1309000027,6,17,false,9,6,-3,41.9585,-87.65499
13389,6,17,false,13,7,-6,41.961,-87.64958
KA1503000022,6,17,false,5,6,1,41.96158,-87.66609
TA1307000107,6,17,false,5,11,6,41.96164,-87.65464
TA1307000156,6,17,false,2,5,3,41.96301,-87.68479
TA1308000012,6,17,false,56,30,-26,41.96398,-87.63818
13074,6,17,false,13,5,-8,41.96521,-87.6582
639,6,17,false,12,10,-2,41.96584,-87.64538
TA1307000140,6,17,false,5,2,-3,41.96643,-87.68865
TA1309000014,6,17,false,7,17,10,41.96709,-87.66744
TA1307000119,6,17,false,9,8,-1,41.96796,-87.65
TA1308000021,6,17,false,5,7,2,41.96883,-87.65765
TA1309000066,6,17,false,10,2,-8,41.9691,-87.67423
KA1504000171,6,17,false,8,8,0,41.97161,-87.65016
13108,6,17,false,3,6,3,41.97379,-87.65971
KA1504000146,6,17,false,17,10,-7,41.978,-87.66805
13109,6,17,false,12,7,-5,41.97835,-87.65976
KA1504000151,6,17,false,3,6,3,41.98359,-87.66916
KA1504000152,6,17,false,31,21,-10,41.98403,-87.65231
15578,6,17,false,11,7,-4,41.98405,-87.66027
15575,6,17,false,3,5,2,41.98975,-87.66014
KA1504000156,6,17,false,2,6,4,41.99925,-87.67137
660,6,17,false,7,3,-4,42.00458,-87.66143
KA1504000175,6,17,false,3,5,2,42.00797,-87.66549
E002,6,17,false,5,2,-3,42.03256,-87.67912
